영화명,영화명(영어),제작연도,국적,유형,장르,제작상태,감독,제작사
할로윈:살인마의 탄생,Halloween,2007,미국,장편,공포(호러),개봉,롭 좀비,디멘션 필름즈
살아있는 야생탐험,Keep It Wild,2007,이스라엘,장편,다큐멘터리,개봉,오데드 시모니,
나의 판타스틱 데뷔작,Son of Rambow,2007,"영국,독일,프랑스",장편,"코미디,드라마,가족",개봉,가스 제닝스,
디토네이터,The Detonator,2006,미국,장편,액션,개봉,레옹 포치,
라스트 나잇 ,Last Night,1998,캐나다,장편,"SF,드라마",개봉,돈 맥켈러,"씨비에스(카나디언 브로드캐스팅 코포레이션),Haut et Court,라 세트-아르테,롬버스 미디어,텔레필름 캐나다"
엑스맨 탄생: 울버린,X-Men Origins: Wolverine,2009,미국,장편,"SF,액션,판타지",개봉,개빈 후드,이십세기폭스필름코퍼레이션
케로로 더 무비: 드래곤 워리어,Sergeant Keroro The Super Duper Movie : Dragon Wars,2009,일본,장편,"애니메이션,SF,어드벤처",개봉,"사토 준이치,야마구치 스스무",
패밀리가 간다,The Elder Son,2006,미국,장편,"코미디,드라마,멜로/로맨스,가족",개봉,마리우스 발커나스,
플라이트93,United 93,2006,미국,장편,"범죄,드라마",개봉,폴 그린그래스,"유니버셜 픽쳐스,스튜디오 카날,시드니 키멜 엔터테인먼트,워킹 타이틀 필름"
블랙 아이스,Black Ice,2007,핀란드,장편,드라마,개봉,페트리 코트비카,
제독의 연인,The Admiral,2008,러시아,장편,"드라마,전쟁",개봉,안드레이 크라프추크,
13구역: 얼티메이텀,District 13: Ultimatum,2009,프랑스,장편,액션,개봉,패트릭 알레산드렝,유로파 Corp.
노잉,Knowing,2009,미국,장편,"SF,액션,미스터리,드라마",개봉,알렉스 프로야스,
폴리스 비트,Police Beat,2005,미국,장편,드라마,개봉,로빈슨 드버,
더블 스파이,Duplicity,2009,"미국,독일",장편,"범죄,멜로/로맨스,스릴러",개봉,토니 길로이,로라 빅포드 프로덕션즈
매란방,Forever Enthralled,2008,중국,장편,"드라마,사극,멜로/로맨스",개봉,첸 카이거,China Film Group Corporation
스니커즈,Sneakers,1992,미국,장편,"코미디,액션,드라마",개봉,필 알덴 로빈슨,유니버셜 픽쳐스
미쓰 루시힐,New In Town,2009,미국,장편,"코미디,멜로/로맨스",개봉,조나스 엘머,
우리 집에 왜 왔니,On The Way Home,2009,한국,장편,"드라마,멜로/로맨스,코미디",개봉,황수아,㈜어거스트 
용재변연,Century Of The Dragon,1999,중국,장편,"액션,스릴러,범죄",개봉,곽요량,징'스프로덕션
용의자 X의 헌신,Suspect X,2008,일본,장편,"미스터리,스릴러,범죄",개봉,니시타니 히로시,어뮤즈픽쳐스
도협대전,The Commen In Vegas,1999,홍콩,장편,코미디,개봉,왕정,징'스프로덕션
전차남,Train Man,2005,일본,장편,"멜로/로맨스,코미디",개봉,무라카미 마사노리,
안나와 알렉스 : 두자매 이야기,The Uninvited,2009,미국,장편,"공포(호러),스릴러",개봉,찰스 가드,드림웍스 SKG
천하무적,A World Without Thieves,2004,중국,장편,"액션,드라마,범죄",개봉,펑샤오강,"포커스필름프로덕션㈜,미디어 아시아 필름즈"
토마스와 친구들 - 극장판,The Great Discovery,2008,영국,장편,"애니메이션,가족",개봉,스티브 애스퀴스,
맹귀 패왕화,Here Comes A Vampire,1990,홍콩,장편,"공포(호러),코미디,액션",개봉,진유지,
분노의 질주: 더 오리지널,Fast & Furious,2009,미국,장편,액션,개봉,저스틴 린,
혈염홍진,Mega Force From Highland,1992,홍콩,장편,"액션,드라마,범죄",개봉,여적렴,범진영화(주)
신부들의 전쟁,Bride Wars,2009,미국,장편,"코미디,멜로/로맨스",개봉,게리 위닉,
육체의 증거,Body Of Evidence,1992,미국,장편,"성인물(에로),범죄,멜로/로맨스,스릴러",개봉,울리 에델,디노 드 로렌티스 프로덕션즈
절대쌍교,Handsome Siblings,1992,홍콩,장편,"액션,코미디,멜로/로맨스",개봉,증지위,
센티넬,The Sentinel,2006,미국,장편,"범죄,드라마",개봉,클락 존슨,이십세기폭스필름코퍼레이션
키스 미 굿바이,Nothing Underneath,1992,이탈리아,장편,"드라마,미스터리",개봉,칼로 반지나,
쇼퍼홀릭,Confessions Of A Shopaholic,2009,미국,장편,"코미디,드라마,멜로/로맨스",개봉,P.J. 호건,터치스톤 픽쳐스
인택토,Intacto,2001,스페인,장편,"드라마,스릴러",개봉,후안 카를로스 프레스나딜로,
졸업,The Pallbearer,1996,미국,장편,"코미디,드라마",개봉,맷 리브스,"미라맥스 필름즈,The Chess Club"
돌아온 크레이지 보이,Return To The Crazy Boy,1991,프랑스,장편,코미디,개봉,장 사루스,
더블 크라임,Double Jeopardy,1999,미국,장편,"미스터리,범죄,스릴러",개봉,브루스 베레스포드,"MFP,파라마운트 픽쳐스,브리티시 콜럼비아 프로덕션"
레이크 하우스,The Lake House,2006,미국,장편,"멜로/로맨스,드라마",개봉,알레한드로 아그레스티,"빌리지 로드쇼 픽쳐스,워너 브러더스 픽쳐스"
나인 라이브즈,9 Lives,2005,미국,장편,드라마,개봉,로드리고 가르시아,
13구역,13th District,2004,프랑스,장편,"액션,SF",개봉,피에르 모렐,"까날 플러스,TF1 필름 프로덕션"
단지 유령일 뿐,Nothing But Ghosts,2006,독일,장편,"드라마,멜로/로맨스",개봉,마틴 집킨스,아르떼
엘레지,Elegy,2008,미국,장편,"드라마,멜로/로맨스",개봉,이자벨 코이젯트,레이크쇼어 엔터테인먼트
푸시,Push,2009,미국,장편,"SF,스릴러,드라마",개봉,폴 맥기건,서미트 엔터티인먼트
13일의 금요일,Friday The 13th,2009,미국,장편,공포(호러),개봉,마커스 니스펠,
뉴욕은 언제나 사랑 중,The Accidental Husband,2008,미국,장편,"멜로/로맨스,코미디",개봉,그리핀 던,
천선지연 ,When I Look Upon The Stars,1998,"중국,홍콩",장편,멜로/로맨스,개봉,임초현,People's Production Limited 
드래곤볼 에볼루션,Dragonball,2009,미국,장편,"액션,어드벤처,SF,가족",개봉,제임스 왕,이십세기폭스필름코퍼레이션
보이 걸 씽,It's A Boy Girl Thing,2006,"영국,캐나다",장편,"코미디,멜로/로맨스,판타지",개봉,닉 허랜,
부그와 엘리엇 2,Open Season 2,2008,미국,장편,"애니메이션,코미디,드라마,어드벤처",개봉,매튜 오칼라헌,소니 픽쳐스 애니메이션
13층,The Thirteenth Floor,1999,미국,장편,"SF,스릴러,미스터리",개봉,조셉 루스낵,센트로폴리스 필름 프로덕션
슬픔보다 더 슬픈 이야기,More Than Blue,2009,한국,장편,"멜로/로맨스,드라마",개봉,원태연,(주)코어콘텐츠미디어
더 레슬러,The Wrestler,2008,미국,장편,"드라마,액션",개봉,대런 아로노프스키,
라스트프로포즈,Look For A Star,2009,홍콩,장편,멜로/로맨스,개봉,유위강,
유어 프렌즈,Your Friends,2008,일본,장편,"드라마,멜로/로맨스",개봉,히로키 류이치,
왓치맨,Watchmen,2009,미국,장편,"액션,미스터리,판타지,SF",개봉,잭 스나이더,"파라마운트 픽쳐스,워너 브러더스 픽쳐스"
사이먼 버치 ,Simon Birch,1998,"미국,캐나다",장편,"코미디,드라마",개봉,마크 스티븐 존슨,"카라반 픽쳐스,할리우드픽처스"
레이첼 결혼하다,Rachel Getting Married,2008,미국,장편,"드라마,멜로/로맨스,가족",개봉,조나단 드미,
언데드,The Unborn,2009,미국,장편,"공포(호러),스릴러",개봉,데이빗 S. 고이어,
인터내셔널,The International,2009,미국,장편,"액션,스릴러,드라마",개봉,톰 티크베어,콜럼비아 픽쳐스 코포레이션
레볼루셔너리 로드,Revolutionary Road,2008,미국,장편,"드라마,멜로/로맨스",개봉,샘 멘데스,
말리와 나,Marley & Me,2008,미국,장편,"드라마,코미디,멜로/로맨스,가족",개봉,데이빗 프랭클,"폭스2000픽처스,뉴리전시 픽쳐스"
문프린세스 : 문에이커의 비밀,The Secret Of Moonacre,2008,"영국,프랑스",장편,"어드벤처,판타지",개봉,가버 추보,
마법의 열쇠,The Magic Riddle,1992,호주,장편,애니메이션,개봉,요람 그로스,
퀸 오브 뱀파이어,Queen Of The Damned,2002,미국,장편,공포(호러),개봉,마이클 라이머,
하이 스쿨 뮤지컬: 졸업반,High School Musical 3: Senior Year,2008,미국,장편,"코미디,드라마,멜로/로맨스,뮤지컬,가족",개봉,케니 오테가,월트 디즈니 픽쳐스
링 오브 화이어,Ring Of Fire,1993,미국,장편,액션,개봉,리처드 W. 먼킨,
다우트,Doubt,2008,미국,장편,"드라마,미스터리",개봉,존 패트릭 셰인리,
묘가십이소,The Prince Of Temple Street,1992,홍콩,장편,"액션,범죄,멜로/로맨스",개봉,장가준,
라리파,La Riffa,1991,이탈리아,장편,드라마,개봉,프란체스코 라우다디오,
닌자 키드,3 NINJAS KICKING BUTT,1992,미국,장편,"액션,어드벤처,코미디",개봉,존 터틀타웁,신프로덕션
원죄적 본능,Sins Of Desire,1992,미국,장편,"성인물(에로),드라마,스릴러",개봉,짐 위노스키,
마이 뉴 파트너 2,,1990,프랑스,장편,"드라마,코미디,범죄,액션",개봉,끌로드 지디,오를리 필름즈
영웅문,The Little Fragon Maiden,1990,홍콩,장편,"드라마,액션",개봉,화산,
몬스터 하우스,Monster House,2006,미국,장편,"공포(호러),코미디,애니메이션",개봉,길 키넌,소니 픽쳐스 애니메이션
오호사해,Show Down In Land,1992,홍콩,장편,"액션,드라마",개봉,주연평,
더 레터,The Letter,2004,태국,장편,"멜로/로맨스,드라마",개봉,파온 찬드라시리,
쇼킹아시아2,"Shocking Asia, Part 2: The Last Taboos",1995,독일,장편,다큐멘터리,개봉,에머슨 폭스,"Geiselgasteig Film ,First Film Organisation Ltd"
너에겐 내일이 없다,The Gunrunner,1984,미국,장편,"드라마,범죄",개봉,나르도 카스틸로,
돈많은 친구들,Friends With Money,2006,미국,장편,"코미디,드라마",개봉,니콜 홀로프세너,
셔틀,Shuttle,2008,미국,장편,"공포(호러),스릴러,범죄",개봉,에드워드 앤더슨,
작은 영웅 데스페로,The Tale Of Despereaux,2008,미국,장편,"애니메이션,어드벤처,판타지,코미디,가족",개봉,"샘 펠,로버트 스티븐헤이겐",
트라비에게 갈채를,Go Tarbi Go,1992,독일,장편,코미디,개봉,피터 팀,
러브 레터,The Love Letter,1999,미국,장편,"코미디,드라마,멜로/로맨스",개봉,진가신,"드림웍스 SKG, Sanford/Pillsbury Productions "
분노의 핑퐁,Balls Of Fury,2007,미국,장편,"액션,코미디,범죄",개봉,로버트 벤 가랜트,
세븐 파운즈,Seven Pounds,2008,미국,장편,드라마,개봉,가브리엘 무치노,콜럼비아 픽쳐스 코포레이션
헨리 5세,Henry 5,1989,영국,장편,"액션,드라마,전쟁",개봉,케네스 브래너,
킹 오브 더 힐,King Of The Hill,2007,스페인,장편,"스릴러,드라마",개봉,곤잘로 로페즈 갈레고,
신조협려-무뢰한,Saviour Of The Soul,1992,홍콩,장편,"액션,드라마,SF",개봉,원규,
타이드랜드,Tideland,2005,"영국,캐나다",장편,"드라마,판타지,스릴러",개봉,테리 길리엄,
옥시즌,Oxygen,1999,미국,장편,"범죄,스릴러",개봉,리차드 쉐퍼드,"커브 엔터테인먼트,어밴든픽쳐스,페디웨건 "
속 오복성,Ghost Punting,1991,홍콩,장편,"코미디,액션",개봉,홍금보,
도쿄 마블 초콜릿,Tokyo Mable Chocolate,2007,일본,장편,"애니메이션,코미디,멜로/로맨스",개봉,시오타니 나오요시,
레저베이션 로드,Reservation Road,2007,미국,장편,"드라마,스릴러",개봉,테리 조지,포커스피쳐스
당신의 다리 사이,Between Your Legs,1999,스페인,장편,"미스터리,스릴러",개봉,마누엘 고메즈 페레이라,"Aurum Producciones S.A., ,Bocaboca Producciones S.A,D.M.V.B. Films "
잉크하트 : 어둠의 부활,Inkheart,2008,미국,장편,"어드벤처,판타지,가족",개봉,이안 소프틀리,뉴라인 시네마
트랩,The Flock,2007,미국,장편,"범죄,스릴러,액션",개봉,유위강,
자유시대,Mobsters,1992,미국,장편,"범죄,드라마",개봉,마이클 카벨니코프,
작전명 발키리,Valkyrie,2008,"미국,독일",장편,"스릴러,드라마,전쟁",개봉,브라이언 싱어,유나이티드 아티스트
동방노호,The Cyprus Tiger,1992,홍콩,장편,"액션,범죄",개봉,고비,
적벽대전 2 : 최후의 결전,Red Cliff 2,2008,중국,장편,"액션,전쟁,드라마,사극",개봉,오우삼,
라버 앤 러버 ,Earthly Possessions,1999,미국,장편,드라마,개봉,제임스 라핀,라스타 픽쳐스
롤라,Whatever Lola Wants,2007,"프랑스,캐나다",장편,드라마,개봉,나빌 아유쉬,
파리에서 생긴 일,The Maid,1992,미국,장편,"코미디,멜로/로맨스",개봉,이안 토인톤,
의혈남아,Aginst All,1992,홍콩,장편,액션,개봉,유위강,
탑 블레이드 더 무비,Beyblade The Movie: Gekitou!! Takao vs Daichi,2002,일본,장편,애니메이션,개봉,"야스미 테츠오,카와세 토시후미",
디파이언스,Defiance,2008,미국,장편,"드라마,전쟁",개봉,에드워드 즈윅,
마다가스카 2,Madagascar : Escape 2 Africa,2008,미국,장편,"애니메이션,어드벤처,가족,액션",개봉,"에릭 다넬,톰 맥그라스",드림웍스 애니메이션
댄스 위드 미 ,Dance With Me,1998,미국,장편,"드라마,멜로/로맨스",개봉,랜다 헤인즈,"콜럼비아 픽쳐스 코포레이션,만달레이 엔터테인먼트"
뮤턴트: 다크 에이지,Mutant Chronicles,2008,미국,장편,"액션,어드벤처,SF",개봉,사이먼 헌터,
사랑도 흥정이 되나요?,How Much Do You Love Me,2005,"프랑스,이탈리아",장편,"코미디,멜로/로맨스",개봉,베르트랑 블리에,피델라이트프로덕션
비발디,"Antonio Vivaldi, a prince in Venice",2007,프랑스,장편,드라마,개봉,장 루이 길예르모,
자소 ,Self Comb,1999,"중국,홍콩",장편,"드라마,멜로/로맨스",개봉,장지량,"골든하베스트,유나이티드 필름메이커스 오가니제이션"
이방의 연인,Kiss Of The Tiger,1992,독일,장편,"드라마,멜로/로맨스,스릴러",개봉,페트라 하프터,
초보영웅 컵스,Kuffs,1992,미국,장편,"액션,코미디,범죄",개봉,브루스 A 에반스,
워터보이,The Waterboy,1998,미국,장편,코미디,개봉,프랭크 코라치,"터치스톤 픽쳐스,Waterboy Productions "
비스트 마스터2,Beastmaster2,1991,미국,장편,"액션,어드벤처,판타지,SF",개봉,실비오 타베,
음식남녀2,Four Chefs And A Feast,1999,"대만,중국",장편,드라마,개봉,이국립,
쿵후보이 친미,Kung Fu Boy Chin-Mi,1992,한국,장편,"코미디,드라마,액션",개봉,왕룡,대원동화(주)
카,Cars,2006,미국,장편,"애니메이션,액션,코미디",개봉,존 라세터,
챔프의 분노,The Rage Of The Champ,1992,한국,장편,액션,개봉,임소정,미래영화(주)
우뢰매 7 : 돌아온 우뢰매,The Thunder Hawk 7 Returns,1992,한국,장편,"코미디,드라마,액션,SF",개봉,임종호,김청기필름
레드 드래곤,Red Dragon,2002,미국,장편,스릴러,개봉,브렛 래트너,
야망의 대륙,The Continent Of Ambition,1992,한국,장편,"액션,사극,전쟁",개봉,임선,(주)화천공사
13월의 겨울,The Winter Of The 13Th Month,1992,한국,장편,"멜로/로맨스,드라마",개봉,이병주,인창영화(주)
울트라바이올렛,Ultraviolet,2006,미국,장편,"액션,SF",개봉,커트 위머,
신혼여행 특공대,The Honey Moon Squad,1992,한국,장편,"드라마,멜로/로맨스",개봉,문종금,오픈시네마(주)
짧은 여행의 끝,The End of a Short Trip ,1992,한국,장편,"드라마,멜로/로맨스",개봉,유건조,(주)하명중 영화제작소
B타임의 정사,An Affair At Time B,1991,한국,장편,성인물(에로),개봉,이광섭,신라영화(주)
에미의 들,,1992,한국,장편,"전쟁,멜로/로맨스,사극",개봉,설태호,(주)삼영필림
더 히어로 ,A Hero Never Dies,1998,"중국,홍콩",장편,"범죄,액션",개봉,두기봉,밀키웨이 이미지
봉성부인,Madame Bong Sung,1992,한국,장편,"성인물(에로),사극",개봉,진석모,(주)극동스크린
H20,Halloween H20: 20 Years Later,1998,미국,장편,"공포(호러),스릴러",개봉,스티브 마이너,"디멘션 필름즈,나이트폴 프로덕션즈"
서울에서 마지막 탱고 2,Last Tango In Seoul 2,1992,한국,장편,"멜로/로맨스,드라마",개봉,박용준,(주)한영필림
미키 블루 아이즈 ,Mickey Blue Eyes,1999,미국,장편,"코미디,멜로/로맨스,범죄",개봉,켈리 매킨,"캐슬 락 엔터테인먼트,Simian Films "
브로크다운 펠리스 ,Brokedown Palace,1999,미국,장편,드라마,개봉,조나단 카프란,"이십세기폭스필름코퍼레이션,아탐필즈프로덕션즈,폭스2000픽처스,Two Girls Productions "
마음의 파수꾼,A Keeper Of The Heart,1992,한국,장편,"멜로/로맨스,드라마",개봉,서웅,대산흥행
사랑이 지나간 자리 ,The Deep End Of The Ocean,1998,미국,장편,드라마,개봉,울루 그로스바드,"콜럼비아 픽쳐스 코포레이션,만달레이 엔터테인먼트,Via Rosa Productions"
로맨스 황제,The Emperor Of Romance,1992,한국,장편,"코미디,드라마,멜로/로맨스",개봉,박문수,(주)오성필름
돌아오라 개구리소년,Come Back Frog Boys,1992,한국,장편,"가족,드라마",개봉,조금환,길영화사
벗어버린 사슬,The Cast Off Chains,1992,한국,장편,멜로/로맨스,개봉,박용훈,
미스터 맘마,Mister Mama,1992,한국,장편,"드라마,멜로/로맨스,코미디",개봉,강우석,(주)신씨네
원색의 청춘,Color Of Youth,1992,한국,장편,"드라마,멜로/로맨스,미스터리",개봉,김영한,해성흥업
무인도의 남과 여,A Man And A Woman On An Island,1992,한국,장편,"성인물(에로),드라마,멜로/로맨스",개봉,권일수,썬라이즈필림
뽕 3,Mulberry 3,1992,한국,장편,"성인물(에로),사극",개봉,이두용,두성영화㈜
뜨거운 바다,The Hot Ocean,1992,한국,장편,"드라마,멜로/로맨스",개봉,김유민,현진필름
성애의 침묵,The Silence Of Eros,1992,한국,장편,"성인물(에로),드라마,멜로/로맨스",개봉,정인엽,(주)두손필름
큐브,Cube,1997,캐나다,장편,"공포(호러),스릴러,미스터리,SF",개봉,빈센조 나탈리,"Cube Libre,온타리오 필름,The Feature Film Project,The Harold Greenberg Fund,Viacom Canada ,텔레필름 캐나다"
아메리칸 파이,American Pie,1999,미국,장편,코미디,개봉,폴 웨이츠,유니버셜 픽쳐스
프라이머리 컬러스,Primary Colors,1998,"미국,영국,프랑스,독일,일본",장편,"코미디,드라마",개봉,마이크 니콜스,"마루베니 코퍼레이션,뮤추얼필름컴퍼니,텔레문첸,토호-토와,유니버셜 제네럴 시네마토그래퍼,유니버셜 픽쳐스, Award Entertainment,BBC(British Broadcasting Corporation), Icarus Films"
메이드 맨,Made Men,1999,미국,장편,"액션,코미디",개봉,루이스 모르뉴,"Decade Pictures,Made Men Productions, Inc"
캉캉 69,Kangkang 69,1992,한국,장편,"성인물(에로),드라마,멜로/로맨스",개봉,석도원,신성필림
소녀경,The Maiden Scriptures,1992,한국,장편,"성인물(에로),사극",개봉,박호태,(주)동아수출공사
애마부인 7,Madame Emma 7,1992,한국,장편,"성인물(에로),드라마,멜로/로맨스",개봉,석도원,연방영화(주) 
아들과 연인,The Son And The Lover,1992,한국,장편,"드라마,멜로/로맨스",개봉,조문진,충무로
영구와 흡혈귀 드라큐라,Young-Gu And Count Dracula,1992,한국,장편,"코미디,드라마,공포(호러)",개봉,심형래,비유엠영화
정신나간 유령,The Foolish Ghost,1992,한국,장편,"어드벤처,드라마,가족,코미디",개봉,왕룡,대원동화(주)
북경녀석들 ,Beijing Bastards,1993,중국,장편,드라마,개봉,장위엔,허버트발스펀드
안개에 젖은 리오의 밤은 깊어,The Foggy Nights Of Rio De Janeiro Are Deep,1992,한국,장편,"성인물(에로),멜로/로맨스,드라마",개봉,박한순,춘우영화주식회사
이글라,The Needle,1988,러시아,장편,"드라마,스릴러",개봉,라쉬드 누구마노프,카자크필름 스튜디오즈
머저리와 도둑놈,The Fool And The Thief,1992,한국,장편,코미디,개봉,남기남,동보흥행(주)
우리사랑 이대로,May Our Love Stay This Way,1992,한국,장편,"멜로/로맨스,드라마",개봉,강정수,(주)세한진흥
특명 미녀군단,Special Mission : Beauty Corps,1992,한국,장편,액션,개봉,조명화,연방영화(주) 
애사당 홍도,Hong Do,1989,한국,장편,"멜로/로맨스,사극",개봉,장성환,㈜익영영화
복카치오 92,Boccaccio '92,1992,한국,장편,"성인물(에로),드라마,멜로/로맨스",개봉,김기영,신성필림
불워스,Bulworth,1998,미국,장편,"코미디,드라마,멜로/로맨스",개봉,워렌 비티,투엔티쓰 센츄리-폭스 필름 코퍼레이션
와일드 어드벤처,Wild America,1999,미국,장편,"액션,어드벤처,코미디",개봉,윌리엄 디어,"모건 크릭 프로덕션즈,스티브 티쉬 컴퍼니"
늪속의 불안개는 잠들지 않는다,The Swamp Haze Will Not Clear,1992,한국,장편,"성인물(에로),멜로/로맨스",개봉,신우철,양전흥업
넝쿨속의 히야신스,A Hyacinth Encircled By Vines,1992,한국,장편,"드라마,멜로/로맨스",개봉,김태룡,서울프로
황제 오작두,Emperor Oh Jak-Doo,1992,한국,장편,"액션,범죄",개봉,방규식,거원영역(주)
세이비어 ,Savior,1998,미국,장편,"드라마,전쟁",개봉,프레드랙 안토니제빅,이니티얼엔터테인먼트그룹
나 이제 너를 잊으리,I Will Forget You Now,1991,한국,장편,"드라마,멜로/로맨스",개봉,우태영,스타맥스(주)
한 여름밤의 꿈,A Midsummer Night'S Dream,1999,미국,장편,"코미디,판타지",개봉,마이클 호프만,"폭스써치라이트픽처스,리젠시 엔터프라이즈,파노라미카"
새알각하,His Excellency Of Sae-Al City,1992,한국,장편,드라마,개봉,한영렬,(주)서울필름
백백교,The Pure White Cult,1991,한국,장편,"드라마,범죄",개봉,최영철,화풍흥업
빅대디,Big Daddy,1999,미국,장편,"코미디,드라마",개봉,데니스 듀간,"잭지아리푸토프로덕션,아웃 오브 더 블루… 엔터테인먼트"
세상 끝의 향기,The Scent At The Edge Of The World,1991,한국,장편,"드라마,멜로/로맨스",개봉,홍두완,민감영화사
샤만카,Chamanka,1996,프랑스,장편,"성인물(에로),미스터리",개봉,안드레이 줄랍스키,"알헤나필름즈,까날 플러스 폴스카,카날 플뤼스 스튜디오,Compagnie des Films,Film+ Pologne, Visa Films "
스물일곱 송이 장미,Twenty Seven Roses,1991,한국,장편,"드라마,멜로/로맨스",개봉,신승수,(주)연흥아세아
더 헌팅,The Haunting,1999,미국,장편,"공포(호러),미스터리,스릴러",개봉,얀 드봉,"드림웍스 SKG,로스아놀드 프로덕션"
중화영웅,A Man Called Hero,1999,중국,장편,"액션,어드벤처,드라마",개봉,유위강,골든하베스트
스텝포드 와이프,The Stepford Wives,2004,미국,장편,코미디,개봉,프랭크 오즈,스캇 루딘 프로덕션
카르멘,Carmen,2003,스페인,장편,드라마,개봉,빈센트 아란다,스타라인
식스 센스,The Sixth Sense,1999,미국,장편,"공포(호러),스릴러,미스터리,드라마",개봉,M. 나이트 샤말란,"할리우드픽처스,스파이글라스 엔터테인먼트,더 케니디/마샬 컴퍼니"
맨 온 파이어,Man On Fire,2004,미국,장편,액션,개봉,토니 스콧,폭스2000픽처스
캣우먼,Catwoman,2004,미국,장편,액션,개봉,피토프,워너브러더스사㈜
딥 블루 씨,Deep Blue Sea,1999,미국,장편,"액션,스릴러,공포(호러),SF",개봉,레니 할린,"그루초,리체 루드윙,워너 브러더스 픽쳐스"
빌리지,The Village,2004,미국,장편,공포(호러),개봉,M. 나이트 샤말란,터치스톤 픽처스
카란디루,Carandiru,2003,아르헨티나,장편,드라마,개봉,헥터 바벤코,
워킹 톨,Walking Tall,2004,미국,장편,액션,개봉,케빈 브레이,하이드파크엔터테인먼트
퍼니셔,The Punisher,2004,미국,장편,액션,개봉,조나단 헨스라이,마블 엔터테인먼트
지옥갑자원,Battlefield Baseball,2003,일본,장편,코미디,개봉,야마구치 유다이,
시크릿 윈도우,Secret Window,2004,미국,장편,공포(호러),개봉,데이빗 코엡,콜럼비아트라이스타
토마스 크라운 어페어 ,The Thomas Crown Affair,1999,미국,장편,"멜로/로맨스,범죄,스릴러,코미디",개봉,존 맥티어난,"아이리시드림타임,유나이티드 아티스트"
퀸카로 살아남는 법,Mean Girls,2004,미국,장편,코미디,개봉,마크 S. 워터스,파라마운트 픽쳐스
프리즈 미,Freeze Me,2000,일본,장편,스릴러,개봉,이시이 다카시,(주)코랄픽쳐스
패밀리 플랜,Family Plan,1997,미국,장편,"가족,코미디",개봉,프레드 거버,
셧업,Shut-Up,2003,프랑스,장편,코미디,개봉,프랑시스 베베르,유니온 제너럴 시네마토그래픽 (UGC)
모두가 죽이고 싶던 여자,The Woman Everyone Wanted To Kill,1992,한국,장편,"드라마,미스터리",개봉,최야성,
아메리칸 파이 러브,Love 101,2000,미국,장편,드라마,개봉,아드리언 퓨레,
비황,Bihwang,1992,한국,장편,"드라마,사극",개봉,문여송,(주)키네마서울
율리스 골드,Ulee'S Gold,1997,미국,장편,드라마,개봉,빅터 누네즈,"클리니카 에스테티코,누네즈 고완"
언제나 막차를 타고 오는 사람,The Man Who Always Takes The Last Train,1991,한국,장편,"드라마,멜로/로맨스",개봉,김혁,합동영화(주)
헬보이,Hellboy,2004,미국,장편,SF,개봉,길예르모 델 토로,레볼루션 스튜디오
나는 너를 천사라고 부른다,I Call You Angel,1992,한국,장편,드라마,개봉,김인수,유니픽쳐
본 슈프리머시,The Bourne Supremacy,2004,미국,장편,액션,개봉,폴 그린그래스,유니버셜 픽쳐스
변금련 2,Byeon Geum-Ryun 2,1992,한국,장편,"성인물(에로),드라마",개봉,엄종선,고려영화(주)
리딕 - 헬리온 최후의 빛,The Chronicles Of Riddick,2004,미국,장편,SF,개봉,데이빗 토히,"라다 픽쳐스,유니버셜 픽쳐스"
미스터 본즈,Mr. Bones,2001,남아프리카공화국,장편,코미디,개봉,그레이 호프메이어,디스턴트 호리존
비처럼 음악처럼,"Like Music, Like Rain",1992,한국,장편,"드라마,멜로/로맨스",개봉,안재석,(주)삼영필림
카우 삼총사,Home On The Range,2004,미국,장편,애니메이션,개봉,"윌 핀,존 샌포드",월트 디즈니 픽쳐스
세나의 신혼일기,Sena'S Honermoon Diary,1992,한국,장편,"드라마,멜로/로맨스",개봉,김정진,(주)미도영화사
나에게 유일한,But Forever In My Mind,1999,이탈리아,장편,코미디,개봉,가브리엘 무치노,판당고
블링키,Blinky Bill,1992,호주,장편,"애니메이션,가족",개봉,요람 그로스,요람 그로스 필름
여비서클럽,The Female Secretary Club,1992,한국,장편,"멜로/로맨스,드라마",개봉,차성호,와이에스비
숲속의 방,The Room In The Forest,1991,한국,장편,드라마,개봉,오병철,판영화사(주)
미라클 메이커,The Miracle Maker,2000,영국,장편,"드라마,애니메이션",개봉,"데릭 W. 헤이즈,스탠니슬라브 소코로브","비비씨필름즈,브리티쉬스크린,아이콘엔터테인먼트인터내셔널"
황홀한 유혹,The Enchanting Temptation,1992,한국,장편,"멜로/로맨스,드라마,미스터리",개봉,박태창,(주)율가필림
이별아닌 이별,An Unlikely Farewell,1992,한국,장편,"멜로/로맨스,드라마",개봉,박태창,(주)두손필름
섬강에서 하늘까지,From Seom River To The Sky,1992,한국,장편,"멜로/로맨스,드라마",개봉,유진선,충무로
엑시스텐즈,Existenz,1999,미국,장편,"SF,범죄,스릴러",개봉,데이빗 크로넨버그,"얼라이언스아틀란티스커뮤니케이션즈,텔레필름 캐나다,유니온 제너럴 시네마토그래픽 (UGC)"
인형사,The Doll Master,2004,한국,장편,공포(호러),개봉,정용기,(주)필마픽쳐스 
킹 아더,King Arthur,2004,미국,장편,사극,개봉,안톤 후쿠아,"제리 브룩하이머 필름,월트디즈니코리아㈜"
천라지망,Gunmen,1989,홍콩,장편,"액션,범죄",개봉,황지강,
